name,code,des
﻿贵州茅台,600519,国内酿酒行业龙头企业
中国平安,601318,国内保险行业龙头企业
格力空调,000651,国内空调行业领跑者龙头企业
美的集团,000333,国内家电行业龙头企业
青岛海尔,600690,国内家电行业龙头企业
中国中车,601766,国内高铁行业龙头企业
中国重工,601989,国内船舶行业龙头企业
中国建筑,601688,国内大型建筑行业龙头企业
中国神华,601088,国内煤炭行业龙头企业
中信证券,600030,国内证券行业龙头企业
中国石油,601857,国内石油行业龙头企业
工商银行,601398,国内银行行业龙头企业
上汽集团,600104,国内汽车行业龙头企业
亨通光电,600487,5G光纤材料行业龙头
海螺水泥,600585,国内水泥行业龙头企业
京东方A,000725,国内显示器面板龙头
万科A,000002,国内房地产行业龙头企业
江西铜业,600362,国内有色金属铜业行业龙头企业
华大基因,300676,国内基因测序龙头
海康威视,002415,国内最大安防视屏监控产品供应商
大族激光,002008,亚洲最大激光加工设备供应商
欧菲光,002456,内领先的精密光电薄膜元器件制造商
隆基股份,601012,国内光伏行业龙头企业
中国巨石,600176,世界玻纤龙头企业
新和成,002001,国内最大维生素A和维生素E生产商
金风科技,002202,国内领先的风机制造商
爱尔眼科,300015,民营眼科医院连锁企业
片仔癀,600436,国宝神药”国家绝密配方国家一类重要中药
云南白药,000538,“国宝神药”国家绝密配方国家一类重要中药
福晶科技,002222,全球最大LB0、BBO非线性光学晶体生产商
索菲亚,002572,一定制家具龙头
康得新,002450,国内预涂行业领先者
信维通信,600446,国内领先移动终端天线制造商
中国因旅,601888,旅游龙头和免税业唯一A股上市公司
伊利股份,600887,国内牛奶行业龙头企业
顺丰控股,002352,国内快递行业龙头企业
水晶光电,002273,内光电子产业世界领跑者
鱼跃医疗,002223,国内医疗器械行业龙头企业
三一重工,600031,国内重型机械行业龙头企业
江丰电子,300666,高纯溅射靶材的行业龙头
苏宁云商,002024,国内电器销售连锁行业龙头企业
海天味业,603288,国内食品制造业行业龙头
金禾实业,002597,国内甜味剂行业龙头企业
歌尔股份,002241,电声行业龙头
科大讯飞,002230,国内人工智能领军企业
